State,PVI[3],Incumbent[4],"Last
race","Cook
Oct 28,
2022[5]","IE
Nov 3,
2022[6]","Sabato
Nov 7,
2022[7]","Politico
Nov 3,
2022[8]","RCP
Nov 2,
2022[9]","Fox
Nov 1,
2022[10]","538[c][d]
Nov 7,
2022[11]","ED
Nov 7,
2022[12]",Result
Alabama,R+15,Kay Ivey,59.5% R,Solid R,Solid R,Safe R,Solid R,Safe R,Solid R,Solid R,Safe R,"Ivey
66.9% R"
Alaska,R+8,Mike Dunleavy,51.4% R,Likely R,Likely R,Likely R,Likely R,Likely R,Likely R,Likely R,Likely R,"Dunleavy
50.3% R"
Arizona,R+2,Doug Ducey (term-limited),56.0% R,Tossup,Tossup,Lean R,Tossup,Tossup,Tossup,Lean R,Lean R,"Hobbs
50.3% D (flip)"
Arkansas,R+16,Asa Hutchinson (term-limited),65.3% R,Solid R,Solid R,Safe R,Solid R,Safe R,Solid R,Solid R,Safe R,"Sanders
63.0% R"
California,D+13,Gavin Newsom,61.9% D,Solid D,Solid D,Safe D,Solid D,Safe D,Solid D,Solid D,Safe D,"Newsom
59.2% D"
Colorado,D+4,Jared Polis,53.4% D,Solid D,Solid D,Safe D,Likely D,Likely D,Likely D,Solid D,Safe D,"Polis
58.5% D"
Connecticut,D+7,Ned Lamont,49.4% D,Solid D,Solid D,Likely D,Lean D,Lean D,Likely D,Solid D,Safe D,"Lamont
56.0% D"
Florida,R+3,Ron DeSantis,49.6% R,Likely R,Likely R,Safe R,Likely R,Lean R,Likely R,Solid R,Safe R,"DeSantis
59.4% R"
Georgia,R+3,Brian Kemp,50.2% R,Lean R,Lean R,Likely R,Lean R,Lean R,Lean R,Likely R,Likely R,"Kemp
53.4% R"
Hawaii,D+14,David Ige (term-limited),62.7% D,Solid D,Solid D,Safe D,Solid D,Safe D,Solid D,Solid D,Safe D,"Green
63.2% D"
Idaho,R+18,Brad Little,59.8% R,Solid R,Solid R,Safe R,Solid R,Safe R,Solid R,Solid R,Safe R,"Little
60.5% R"
Illinois,D+7,J. B. Pritzker,54.5% D,Solid D,Solid D,Safe D,Likely D,Lean D,Solid D,Solid D,Safe D,"Pritzker
54.9% D"
Iowa,R+6,Kim Reynolds,50.3% R,Solid R,Solid R,Safe R,Solid R,Likely R,Solid R,Solid R,Safe R,"Reynolds
58.0% R"
Kansas,R+10,Laura Kelly,48.0% D,Tossup,Tossup,Lean R (flip),Tossup,Tossup,Tossup,Lean D,Lean D,"Kelly
49.5% D"
Maine,D+2,Janet Mills,50.9% D,Lean D,Lean D,Lean D,Lean D,Tossup,Lean D,Likely D,Lean D,"Mills
55.7% D"
Maryland,D+14,Larry Hogan (term-limited),55.4% R,Solid D (flip),Likely D (flip),Safe D (flip),Solid D (flip),Safe D (flip),Solid D (flip),Solid D (flip),Safe D (flip),"Moore
64.5% D (flip)"
Massachusetts,D+15,Charlie Baker (retiring),66.6% R,Solid D (flip),Likely D (flip),Safe D (flip),Solid D (flip),Safe D (flip),Solid D (flip),Solid D (flip),Safe D (flip),"Healey
63.8% D (flip)"
Michigan,R+1,Gretchen Whitmer,53.3% D,Lean D,Tilt D,Lean D,Lean D,Tossup,Lean D,Likely D,Lean D,"Whitmer
54.5% D"
Minnesota,D+1,Tim Walz,53.8% D,Likely D,Lean D,Likely D,Lean D,Tossup,Lean D,Likely D,Likely D,"Walz
52.3% D"
Nebraska,R+13,Pete Ricketts (term-limited),59.0% R,Solid R,Solid R,Safe R,Solid R,Safe R,Solid R,Solid R,Safe R,"Pillen
59.7% R"
Nevada,R+1,Steve Sisolak,49.4% D,Tossup,Tossup,Lean R (flip),Tossup,Tossup,Tossup,Lean R (flip),Lean R (flip),"Lombardo
48.8% R (flip)"
New Hampshire,D+1,Chris Sununu,65.1% R,Solid R,Solid R,Safe R,Solid R,Safe R,Likely R,Solid R,Safe R,"Sununu
57.1% R"
New Mexico,D+3,Michelle Lujan Grisham,57.2% D,Lean D,Tilt D,Lean D,Lean D,Tossup,Tossup,Likely D,Lean D,"Grisham
52.0% D"
New York,D+10,Kathy Hochul,59.6% D,Likely D,Likely D,Likely D,Likely D,Tossup,Lean D,Solid D,Safe D,"Hochul
53.2% D"
Ohio,R+6,Mike DeWine,50.4% R,Solid R,Solid R,Safe R,Likely R,Safe R,Likely R,Solid R,Safe R,"DeWine
62.4% R"
Oklahoma,R+20,Kevin Stitt,54.3% R,Likely R,Likely R,Likely R,Likely R,Tossup,Lean R,Likely R,Safe R,"Stitt
55.4% R"
Oregon,D+6,Kate Brown (term-limited),50.1% D,Tossup,Tossup,Lean D,Tossup,Tossup,Tossup,Lean D,Lean D,"Kotek
47.0% D"
Pennsylvania,R+2,Tom Wolf (term-limited),57.8% D,Likely D,Lean D,Likely D,Likely D,Lean D,Likely D,Solid D,Likely D,"Shapiro
56.5% D"
Rhode Island,D+8,Dan McKee,52.6% D,Solid D,Solid D,Likely D,Likely D,Likely D,Likely D,Solid D,Likely D,"McKee
58.1% D"
South Carolina,R+8,Henry McMaster,54.0% R,Solid R,Solid R,Safe R,Solid R,Safe R,Solid R,Solid R,Safe R,"McMaster
58.1% R"
South Dakota,R+16,Kristi Noem,51.0% R,Solid R,Solid R,Safe R,Likely R,Likely R,Solid R,Solid R,Safe R,"Noem
62.0% R"
Tennessee,R+14,Bill Lee,59.6% R,Solid R,Solid R,Safe R,Solid R,Safe R,Solid R,Solid R,Safe R,"Lee
64.9% R"
Texas,R+5,Greg Abbott,55.8% R,Likely R,Solid R,Likely R,Likely R,Lean R,Likely R,Solid R,Likely R,"Abbott
54.8% R"
Vermont,D+16,Phil Scott,68.5% R,Solid R,Solid R,Safe R,Solid R,Safe R,Solid R,Solid R,Safe R,"Scott
70.9% R"
Wisconsin,R+2,Tony Evers,49.5% D,Tossup,Tossup,Lean R (flip),Tossup,Tossup,Tossup,Tossup,Lean R (flip),"Evers
51.2% D"
Wyoming,R+25,Mark Gordon,67.1% R,Solid R,Solid R,Safe R,Solid R,Safe R,Solid R,Solid R,Safe R,"Gordon
74.1% R"