State,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,2020,State.1,2010
Alabama,38.0,35.0,34.0,24.0,27.0,22.0,22.0,24.0,36.0,32.0,33.0,32.0,30.0,22.0,18.0,22.0,27.0,23.0,23.0,16.0,20.0,13.0,13.0,20.0,53.1,Alabama,48.1
Texas,38.0,50.0,48.0,53.0,40.0,45.0,54.0,67.0,66.0,66.0,59.0,45.0,62.0,57.0,36.0,84.0,55.0,66.0,73.0,63.0,54.0,52.0,72.0,97.0,67.0,Texas,63.8
Florida,38.0,42.0,44.0,38.0,43.0,49.0,49.0,49.0,56.0,51.0,49.0,55.0,59.0,58.0,50.0,58.0,63.0,66.0,75.0,67.0,68.0,53.0,89.0,114.0,64.1,Florida,59.1
Georgia,30.0,30.0,31.0,54.0,41.0,41.0,44.0,42.0,40.0,37.0,39.0,65.0,53.0,50.0,28.0,39.0,32.0,40.0,41.0,38.0,29.0,24.0,24.0,49.0,64.1,Georgia,58.8
California,29.0,40.0,48.0,45.0,42.0,49.0,63.0,78.0,84.0,60.0,68.0,84.0,82.0,77.0,57.0,68.0,79.0,75.0,83.0,88.0,72.0,65.0,103.0,117.0,67.7,California,67.7
Mississippi,27.0,40.0,26.0,27.0,26.0,27.0,28.0,28.0,22.0,25.0,40.0,41.0,36.0,22.0,22.0,19.0,18.0,15.0,13.0,12.0,9.0,8.0,7.0,4.0,55.9,Mississippi,52.6
Pennsylvania,27.0,25.0,22.0,29.0,31.0,30.0,27.0,33.0,37.0,28.0,36.0,34.0,35.0,41.0,38.0,40.0,40.0,36.0,36.0,36.0,36.0,30.0,72.0,78.0,44.0,Pennsylvania,35.3
North Carolina,26.0,23.0,31.0,33.0,37.0,35.0,33.0,28.0,30.0,29.0,28.0,34.0,28.0,33.0,24.0,29.0,31.0,32.0,40.0,32.0,29.0,28.0,43.0,50.0,57.9,North Carolina,52.1
Ohio,26.0,28.0,26.0,33.0,31.0,33.0,31.0,28.0,23.0,27.0,32.0,32.0,36.0,31.0,27.0,34.0,35.0,31.0,36.0,31.0,21.0,20.0,55.0,50.0,40.4,Ohio,32.6
Virginia,26.0,29.0,25.0,25.0,29.0,31.0,31.0,34.0,26.0,22.0,29.0,34.0,30.0,25.0,26.0,32.0,39.0,37.0,39.0,36.0,33.0,20.0,43.0,45.0,60.5,Virginia,54.7
New York,23.0,19.0,25.0,24.0,21.0,19.0,24.0,26.0,24.0,31.0,31.0,37.0,38.0,42.0,44.0,44.0,47.0,48.0,47.0,44.0,37.0,35.0,53.0,63.0,65.8,New York,60.2
Louisiana,19.0,17.0,20.0,26.0,27.0,28.0,25.0,22.0,22.0,28.0,25.0,27.0,21.0,20.0,15.0,21.0,14.0,13.0,21.0,21.0,16.0,15.0,7.0,8.0,58.6,Louisiana,53.3
Arkansas,18.0,13.0,21.0,21.0,23.0,21.0,19.0,18.0,20.0,24.0,29.0,26.0,23.0,24.0,20.0,22.0,16.0,12.0,14.0,15.0,14.0,9.0,16.0,15.0,49.8,Arkansas,41.6
Indiana,18.0,13.0,12.0,15.0,12.0,14.0,17.0,18.0,16.0,17.0,24.0,20.0,20.0,26.0,16.0,16.0,26.0,30.0,24.0,20.0,19.0,14.0,29.0,31.0,41.3,Indiana,32.3
Missouri,17.0,18.0,16.0,18.0,23.0,21.0,22.0,29.0,30.0,31.0,26.0,26.0,21.0,23.0,19.0,22.0,24.0,18.0,24.0,21.0,19.0,17.0,22.0,27.0,40.8,Missouri,32.9
Illinois,16.0,19.0,16.0,10.0,20.0,22.0,22.0,23.0,23.0,28.0,29.0,28.0,27.0,23.0,21.0,23.0,32.0,35.0,31.0,26.0,19.0,23.0,35.0,39.0,60.3,Illinois,54.7
Michigan,14.0,14.0,17.0,17.0,22.0,26.0,25.0,26.0,23.0,26.0,35.0,26.0,25.0,18.0,15.0,19.0,28.0,29.0,31.0,27.0,25.0,18.0,29.0,36.0,45.2,Michigan,39.1
Tennessee,14.0,17.0,24.0,28.0,31.0,35.0,35.0,38.0,38.0,37.0,35.0,39.0,33.0,37.0,29.0,41.0,38.0,37.0,36.0,38.0,34.0,28.0,33.0,37.0,46.6,Tennessee,39.8
New Jersey,13.0,19.0,19.0,30.0,31.0,29.0,34.0,34.0,40.0,44.0,47.0,47.0,51.0,44.0,40.0,21.0,15.0,17.0,18.0,21.0,16.0,12.0,22.0,21.0,65.8,New Jersey,59.1
South Carolina,12.0,35.0,42.0,44.0,46.0,43.0,43.0,43.0,45.0,36.0,30.0,27.0,21.0,20.0,19.0,22.0,12.0,14.0,17.0,17.0,20.0,17.0,30.0,33.0,54.6,South Carolina,51.0
Washington,12.0,10.0,16.0,13.0,9.0,11.0,16.0,20.0,12.0,15.0,13.0,16.0,16.0,10.0,10.0,8.0,21.0,26.0,28.0,30.0,22.0,19.0,29.0,41.0,55.9,Washington,45.4
Idaho,9.0,9.0,9.0,7.0,7.0,7.0,7.0,8.0,7.0,9.0,13.0,18.0,17.0,9.0,10.0,8.0,12.0,12.0,10.0,7.0,7.0,6.0,21.0,25.0,35.9,Idaho,28.2
Arizona,8.0,9.0,8.0,9.0,8.0,12.0,10.0,17.0,19.0,16.0,22.0,17.0,28.0,20.0,16.0,18.0,18.0,22.0,20.0,21.0,26.0,22.0,39.0,39.0,61.5,Arizona,57.4
Kentucky,8.0,9.0,12.0,8.0,12.0,14.0,12.0,13.0,11.0,10.0,15.0,14.0,10.0,15.0,16.0,13.0,23.0,11.0,13.0,15.0,13.0,9.0,9.0,18.0,32.8,Kentucky,24.8
Nevada,8.0,6.0,10.0,6.0,7.0,10.0,12.0,11.0,13.0,15.0,15.0,12.0,10.0,8.0,6.0,4.0,4.0,9.0,10.0,9.0,12.0,9.0,12.0,15.0,68.8,Nevada,62.5
Minnesota,8.0,8.0,7.0,7.0,7.0,7.0,10.0,7.0,8.0,9.0,7.0,12.0,12.0,8.0,8.0,6.0,10.0,12.0,12.0,12.0,11.0,9.0,19.0,22.0,40.5,Minnesota,30.3
Wisconsin,8.0,10.0,11.0,12.0,10.0,12.0,12.0,12.0,10.0,8.0,8.0,8.0,11.0,10.0,10.0,9.0,9.0,11.0,15.0,15.0,13.0,12.0,21.0,28.0,37.0,Wisconsin,29.8
Maryland,8.0,8.0,12.0,8.0,9.0,9.0,10.0,7.0,13.0,13.0,17.0,18.0,17.0,15.0,15.0,15.0,18.0,19.0,21.0,20.0,15.0,11.0,25.0,25.0,67.3,Maryland,60.7
Colorado,7.0,8.0,6.0,7.0,10.0,10.0,13.0,12.0,15.0,17.0,19.0,15.0,15.0,17.0,15.0,16.0,16.0,21.0,22.0,22.0,17.0,18.0,31.0,30.0,52.3,Colorado,46.5
Massachusetts,6.0,8.0,10.0,7.0,11.0,12.0,8.0,9.0,13.0,16.0,10.0,10.0,8.0,12.0,13.0,10.0,12.0,10.0,14.0,15.0,12.0,14.0,11.0,13.0,51.6,Massachusetts,40.4
Nebraska,5.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,8.0,7.0,8.0,9.0,7.0,5.0,5.0,9.0,8.0,6.0,9.0,9.0,12.0,13.0,40.8,Nebraska,31.5
Oklahoma,5.0,4.0,6.0,7.0,11.0,14.0,16.0,13.0,19.0,15.0,23.0,13.0,20.0,17.0,11.0,17.0,6.0,10.0,9.0,10.0,12.0,9.0,13.0,17.0,59.5,Oklahoma,50.6
Oregon,5.0,8.0,6.0,8.0,7.0,7.0,9.0,11.0,7.0,10.0,15.0,15.0,9.0,9.0,9.0,9.0,11.0,18.0,15.0,15.0,11.0,10.0,24.0,23.0,46.1,Oregon,36.8
Montana,4.0,4.0,2.0,3.0,2.0,2.0,5.0,6.0,6.0,12.0,13.0,10.0,12.0,8.0,9.0,6.0,10.0,8.0,7.0,6.0,6.0,4.0,12.0,17.0,30.1,Montana,22.4
Kansas,4.0,4.0,5.0,6.0,8.0,8.0,6.0,7.0,8.0,6.0,6.0,3.0,4.0,5.0,3.0,5.0,7.0,4.0,4.0,3.0,2.0,4.0,6.0,10.0,45.4,Kansas,24.8
New Mexico,3.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,3.0,4.0,5.0,6.0,3.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,5.0,5.0,63.0,New Mexico,61.4
West Virginia,3.0,5.0,6.0,8.0,9.0,10.0,9.0,7.0,14.0,13.0,13.0,15.0,11.0,10.0,10.0,8.0,4.0,4.0,5.0,4.0,4.0,6.0,9.0,12.0,20.2,West Virginia,13.1
Utah,3.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,5.0,6.0,6.0,4.0,4.0,6.0,4.0,3.0,3.0,3.0,9.0,5.0,4.0,2.0,18.0,20.0,40.7,Utah,33.6
Connecticut,3.0,6.0,8.0,8.0,4.0,4.0,7.0,6.0,5.0,6.0,6.0,5.0,7.0,5.0,3.0,2.0,5.0,6.0,6.0,8.0,6.0,7.0,11.0,14.0,55.7,Connecticut,46.4
Delaware,2.0,2.0,0.0,2.0,3.0,3.0,2.0,2.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,2.0,2.0,3.0,3.0,4.0,7.0,3.0,59.6,Delaware,52.2
Iowa,2.0,3.0,3.0,6.0,2.0,3.0,4.0,4.0,8.0,17.0,6.0,4.0,5.0,5.0,2.0,5.0,4.0,4.0,3.0,3.0,3.0,2.0,12.0,10.0,30.8,Iowa,21.0
South Dakota,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,3.0,6.0,3.0,4.0,5.0,7.0,7.0,7.0,4.0,1.0,4.0,8.0,12.0,35.6,South Dakota,27.4
Maine,1.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,6.0,3.0,2.0,2.0,2.0,3.0,3.0,5.0,2.0,3.0,4.0,9.0,12.0,18.5,Maine,10.8
North Dakota,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,4.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,8.0,7.0,32.6,North Dakota,20.6
Hawaii,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,4.0,4.0,8.0,9.0,75.1,Hawaii,75.1
Wyoming,1.0,1.0,3.0,3.0,3.0,5.0,2.0,2.0,2.0,4.0,5.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,9.0,9.0,32.4,Wyoming,25.4
Alaska,1.0,4.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,1.0,4.0,5.0,62.8,Alaska,55.7
Rhode Island,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,4.0,3.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,3.0,7.0,10.0,49.4,Rhode Island,39.8
New Hampshire,0.0,1.0,2.0,2.0,1.0,2.0,5.0,4.0,3.0,5.0,5.0,4.0,6.0,7.0,6.0,6.0,6.0,9.0,10.0,4.0,6.0,6.0,15.0,16.0,23.6,New Hampshire,14.7
Vermont,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,4.0,4.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,20.2,Vermont,11.0
